user_id,data
4,{}
6,"{""-3"":3010153,""67"":31703,""68"":24591,""69"":116859,""70"":302925,""71"":4256}"
7,"{""-3"":1036976,""67"":59012,""68"":1796,""69"":88106,""70"":47448,""71"":13043}"
5,"{""-3"":1967549,""67"":118025,""68"":3593,""69"":176212,""70"":94897,""71"":26087}"
1,"{""-3"":1967549,""67"":118025,""68"":3593,""69"":176212,""70"":94897,""71"":26087}"
2,"{""-3"":1576278,""68"":1322,""69"":20649,""70"":35339,""71"":3721}"
3,"{""-3"":1967549,""67"":118025,""68"":3593,""69"":176212,""70"":94897,""71"":26087}"
